order,y_coordinate,x_coordinate,r,g,b
232,4,25,0,108,125
233,4,26,0,109,143
234,4,27,0,106,147
235,4,28,0,106,162
236,4,29,0,102,164
237,4,30,1,98,178
238,4,31,76,90,177
239,4,32,102,86,160
240,4,33,116,81,153
241,4,34,126,78,148
242,4,35,135,74,140
243,4,36,151,63,139
244,4,37,160,58,127
245,4,38,167,53,112
246,4,39,172,51,99
247,4,40,185,31,86
248,3,0,72,72,72
249,3,1,139,27,55
250,3,2,139,29,43
251,3,3,148,8,22
252,3,4,136,37,17
253,3,5,121,52,14
254,3,6,109,60,25
255,3,7,104,63,17
256,3,8,99,66,8
257,3,9,89,70,32
258,3,10,85,71,30
259,3,11,80,73,29
260,3,12,76,74,29
261,3,13,70,76,32
262,3,14,64,77,37
263,3,15,46,81,27
264,3,16,33,82,39
265,3,17,0,86,45
266,3,18,0,86,55
267,3,19,0,89,60
268,3,20,0,86,68
269,3,21,0,84,75
270,3,22,0,84,82
271,3,23,0,83,89
272,3,24,0,83,96
273,3,25,0,82,101
274,3,26,0,81,106
275,3,27,0,79,110
276,3,28,0,79,125
277,3,29,0,76,140
278,3,30,0,73,141
279,3,31,55,62,151
280,3,32,80,59,135
281,3,33,94,53,129
282,3,34,103,49,123
283,3,35,111,45,117
284,3,36,118,41,110
285,3,37,125,36,99
286,3,38,130,33,88
287,3,39,134,30,78
288,3,40,137,28,66
289,2,0,49,49,49
290,2,1,96,17,46
291,2,2,98,17,38
292,2,3,97,19,29
293,2,4,87,32,26
294,2,5,76,40,29
295,2,6,74,41,23
296,2,7,71,43,18
297,2,8,60,47,33
298,2,9,58,48,32
299,2,10,56,49,32
300,2,11,53,50,32
301,2,12,51,50,34
302,2,13,48,51,36
303,2,14,46,51,38
304,2,15,34,55,26
305,2,16,28,55,32
306,2,17,22,56,38
307,2,18,0,59,38
308,2,19,0,59,43
309,2,20,0,59,47
310,2,21,6,56,51
311,2,22,2,56,56
312,2,23,0,56,59
313,2,24,0,55,64
314,2,25,0,55,67
315,2,26,3,54,70
316,2,27,0,55,85
317,2,28,0,54,87
318,2,29,0,52,89
319,2,30,0,49,103
320,2,31,39,40,112
321,2,32,56,39,96
322,2,33,67,35,91
323,2,34,73,32,87
324,2,35,70,37,74
325,2,36,74,35,71
326,2,37,87,24,72
327,2,38,90,22,65
328,2,39,92,20,60
329,2,40,94,19,54
330,1,0,39,39,39
